Organization Name,Contact,FLO ID,Function,Country,Product Type
DG3 Dolciaria srl,"Loc. Campomarino, Ospedaletto D'Alpinolo (AV), Italy",6387,"Trader, Trader that is also a Manufacturer/Processor",Italy,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
DHARMA FAIRTRADE,"6 Clarence Street, Port Colborne, L3K4E3, Canada",47430,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,"Oilseeds and Oleaginous fruit (Coconut, Shea Butter)"
DI NISIO srl,"Via Papa Leone XIII, 34, Chieti Scalo, 66100, Italy",21305,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,Coffee (Not specified)
DINESH EXPORTS PRIVATE LIMITED,"1/6-A, Aiyndhupanai, Kadachanallur Post, Opposite to SPK School, Tiruchengode to Pallipalayam Road, Komarapalayam Taluk, Tiruchengode, 638008, India",44626,"Trader, Trader that is also a Manufacturer/Processor, Exporter",India,Cotton (Seed Cotton)
DISTRIBAM,"186 allée des Erables, C/O Afretair - ZI Paris Nord II, Villepinte, 93420, France",47384,"Trader, Importer",France,Banana (Banana)
DM COFFEE TRADING LTDA,"AV FRANCISCO GONÇALVES VALIM , 241 - SALA 1, Varginha, 27062200, Brazil",48955,"Trader, Exporter",Brazil,Coffee (Arabica)
DMK Deutsches Milchkontor GmbH,"Maria-Cunitz-Straße 5, Bremen, 28199, Germany",44873,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cane sugar (Cane sugar)
DMK-Eis GmbH,"Münsterstrasse 31, Everswinkel, 48351, Germany",43894,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,Cocoa (Cocoa)
DO-IT BV,"Hermesweg 7, Barneveld, 3771 ND, Netherlands",3663,"Trader, Trader that is also a Manufacturer/Processor, Importer",Netherlands,"Cane sugar (Cane sugar), Cocoa (Cocoa), Rice (Not specified)"
DO-IT Food Ingredients B.V.,"Hermesweg 7, Barneveld, 3771ND, Netherlands",46536,"Trader, Trader that is also a Manufacturer/Processor, Importer",Netherlands,"Cane sugar (Cane sugar), Cocoa (Cocoa), Rice (Not specified)"
DOL.C.I.P.P SRL,"Via Capo dell'Acqua 20, Norma, 04010, Italy",23795,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,"Cane sugar (Cane sugar), Cocoa (Cocoa), Honey (A Quality), Rice (Non-Basmati and Non-Sarbati rice)"
"DOLE TROPICAL PRODUCTS LATIN AMERICA, LIMITADA","Plaza Roble, Terrazas B, piso 6, Escazú, Costa Rica",47610,"Trader, Importer, Exporter",Costa Rica,"Banana (Baby banana, Banana), Fresh fruit (Pineapples)"
DRK General Merchants Limited,"Ndagara Street House 16, Karagwe, Tanzania",47127,"Trader, Exporter",Tanzania,"Coffee (Arabica, Robusta)"
DULCIOLIVA S.R.L.,"Via Fratelli Rosselli 63, Borgo San Dalmazzo, 12011, Italy",42353,"Trader, Trader that is also a Manufacturer/Processor",Italy,Cocoa (Cocoa)
DUROC,"30 bd abderrahim bouabid oasis, Casablanca, 20410, Morocco",26938,Producer,Morocco,Vegetables (Tomatoes)
Daarnhouwer & Co. B.V,"Korte Hogendijk 18, Zaandam, 1506 MA, Netherlands",1445,"Trader, Importer",Netherlands,"Cocoa (Cocoa), Coffee (Arabica, Robusta), Nuts (Almonds, Brazil Nut, Cashew Nut, Walnut)"
Daelmans Nieuwkuijk B.V.,"KERKSTRAAT 00048, NIEUWKUIJK, 5253AP, Netherlands",48763,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
Daelmans Oss B.V.,"Hunebedstr. 1, Oss, 5342 LK, Netherlands",25887,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Netherlands,"Cane sugar (Cane sugar), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia)), Honey (A Quality)"
Dago Vanilla,"IK 60 Ampanengenana, Ambohimalaza, Antananarivo, Madagascar",48277,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Madagascar,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
"Dakman Vietnam Co., Ltd.","Km 7, National Road 26, Tan Hoa Ward, Buon Ma Thuot City, Vietnam",21095,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Vietnam,"Coffee (Arabica, Robusta)"
Daks India Industries Private Limited,"B-1, EPIP, Site-5, Kasna Indutsrial Area, Greater Noida, 201310, India",45982,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Dallmayr Pralinenmanufaktur GmbH & Co. KG,"Tegernseer Landstraße 185 C, München, 81539, Germany",47235,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Daltex for Agricultural Development,"42 Wadi El Nil Street, Mohandessin, Giza, 12411, Egypt",20052,Producer,Egypt,"Fresh fruit (Grapefruit (Citrus x paradisi), Lemons, Limes, Mangoes, Oranges, Pomegranate, Soft Citrus, Table Grapes), Vegetables (Potatoes, Pumpkin, Sweet Potatoes (Ipomoea batatas))"
Dalziel Ingredients Limited,"William Street 5, Gateshead, NE10 0JP, United Kingdom",47828,"Trader, Trader that is also a Manufacturer/Processor",United Kingdom,Cocoa (Cocoa)
Dama Farm Workers Agrarian Reform Beneficiaries Association,"SITIO DAMA, BRGY CABACUNGAN, LA CASTELLANA, NEGROS OCCIDENTAL, Philippines",29041,Producer,Philippines,Cane sugar (Cane sugar)
Damiano S.p.A. Unipersonale,"Contrada Zappulla, Torrenova ME, 98071, Italy",22660,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia)), Nuts (Almonds, Cashew Nut), Oilseeds and Oleaginous fruit (Sesame Seed, Sesame oil)"
Dan Cake A / S,"Hjortsvangen 15, Give, 7323, Denmark",40318,"Trader, Trader that is also a Manufacturer/Processor",Denmark,Cocoa (Cocoa)
Dan Cake Deutschland GmbH,"Schwitter Weg 17, Menden, Menden, Germany",40264,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Dan Cake Polonia Sp.z..o.o.,"Transportowców 15, Charzanów, 32-500, Poland",40317,"Trader, Trader that is also a Manufacturer/Processor",Poland,Cocoa (Cocoa)
Dani Organic Foods Ltd,"Unit 11, Claremont Way, Lakesview International Business Park, Hersden, CT3 4JZ, United Kingdom",32368,"Trader, Importer, Trader that is also a Manufacturer/Processor",United Kingdom,"Coffee (Not specified), Herbs, herbal teas & spices (Black Pepper (Piper nigrum), Cardamom (Elettaria & Amonum species), Not specified)"
Daniels Chilled Foods,"2100 Century Way, Thorpe Park, Leeds, LS15 8ZB, United Kingdom",29051,"Trader, Trader that is also a Manufacturer/Processor",United Kingdom,Cocoa (Cocoa)
Dankers Daltex Europe GmbH,"Leinenweberstr. 9, Raesfeld, 46348, Germany",30476,"Trader, Importer",Germany,"Fresh fruit (Lemons, Oranges, Pomegranate, Table Grapes), Vegetables (Potatoes, Pumpkin)"
Danper Trujillo SAC,"Carrera Industrial a Laredo S/N, Sector Barrio Nuevo Moche, Trujillo, Peru",30734,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Peru,Vegetables (Artichoke)
Dasta B.V,"Bijsterhuizen 2201, Wijchen, 6604 LC, Netherlands",35295,"Trader, Licensee",Netherlands,Tea (Camellia sinensis)
Dawn Foods Ltd,"Worcester Road, Evesham, WR11 4QU, United Kingdom",47720,Trader,United Kingdom,Cocoa (Cocoa)
De Aviateur Banketbakkerijen B.V.,"Vreekesweid 2, Broek op Langedijk, 1721 PR, Netherlands",36840,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
De Banketgroep B.V.,"Zevenheuvelenweg 45, Tilburg, 5048 AN, Netherlands",18565,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Netherlands,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia)), Honey (Not specified)"
De Bonte Koe BV,"Lange Haven 54, Schiedam, 3111 CH, Netherlands",49177,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
De Chocoladefabriek B.V.,"van Leeuwenhoekstraat 8, Heerhugowaard, 1704 RC, Netherlands",37474,"Trader, Licensee",Netherlands,Cocoa (Not specified)
De Graaf Bakeries,"Snoekbaarsweg 18, Bunschoten-Spakenburg, 3751 BK, Netherlands",33414,Trader,Netherlands,Cocoa (Cocoa)
De Groene Kans - t'Vlierbos,"IJzerdijk 45, Diksmuide, 8600, Belgium",18292,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Belgium,"Cane sugar (Cane sugar), Wine grapes (Wine grapes)"
De Halm b.v.,"De Morgenstond 11b, Heeswijk Dinther, 5473HE, Netherlands",42679,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
De Hoop Viljoen Boerdery (Pty) Ltd,"PO Box 109, Malmesbury, 7299, South Africa",40731,Producer,South Africa,Wine grapes (Wine grapes)
De Jong’s IJs,"Skipmakker 2, Gorredijk, 8401JG, Netherlands",39004,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
De Katjang B.V.,"Koekoeksedijk 14, Zevenbergen, 4761 PJ, Netherlands",21797,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
De Kigsina SCOOPS UF3PA,", Ville de Pô, Burkina Faso",44711,Producer,Burkina Faso,Carbon Credits (Energy efficiency)
De Laat Coffee B.V.,"Looier 4, Nieuwkuijk, 5253RA, Netherlands",43690,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,"Coffee (Arabica, Robusta)"
De Laet International NV,"De Robianostraat 94, Borsbeek, 2150, Belgium",43017,"Trader, Trader that is also a Manufacturer/Processor",Belgium,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Honey (A Quality), Nuts (Brazil Nut)"
De Monchy Natural Products BV,"Coventrystraat 7, Rotterdam, 3047AD, Netherlands",32571,"Trader, Importer",Netherlands,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
De Pelikaan,"Noorsestraat 5, Zutphen, 7202 CJ, Netherlands",46820,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Coffee (Arabica)
De Truffel B.V.,"Glazenmakersweg 2, Woerden, 3449 JD, Netherlands",25607,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
De Tulp,"Box 9058, Malmö, 200 39, Sweden",18002,"Trader, Importer, Licensee",Sweden,Flowers and Plants (Cut Flowers)
De Zuivelhoeve Produktie B.V.,"BRUNINKSWEG 5 A, Hengelo, 7554RW, Netherlands",46206,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
DeKene-Rösterei,"Kenenstr. 4, Weimar-Kehna, 35096, Germany",30125,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,Coffee (Not specified)
DeLaSelva Regenwaldprodukte eG,"Elly-Heuss-Knapp-Str. 2, Freiburg, 79100, Germany",48878,"Trader, Importer",Germany,Coffee (Not specified)
DeLuca Specialty Foods,"66 South Landing Dr., Oak Bluff, R4G 0C4, Canada",33163,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
Deb El Food Products LLC,"2 Papetti Plaza, Elizabeth, NJ 07206, United States",28864,"Trader, Trader that is also a Manufacturer/Processor",United States,Cane sugar (Cane sugar)
Dedigama Maha Perakum Export Agriculture Development Society,"34/3, Lumbini Avenue, Ratmalana, Sri Lanka",21659,Producer,Sri Lanka,"Herbs, herbal teas & spices (Black Pepper (Piper nigrum), Cinnamon (Cinnamomum zeylanicum, C. cassia), Clove (Syzygium aromaticum), Ginger (Zingiber officinale), Lemongrass (Cympobogon citratus, C. flexuosus), Mace (Myristica fragrans), Not specified, , , , ),"
Deeps Texstyles Pvt Ltd,"Kalachora Complex, Opposite Indian Oil Petrol Pump,Chanditala, Hooghly, 712 702, India",30910,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Deiveegam Dyers,"L2, L3, 5th Cross, SIPCOT,Perundurai, Erode, 638052, India",37102,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Del Monte (Holland) B.V.,"Klappolder 170, Bleiswijk, 2665 MP, Netherlands",39678,"Trader, Importer, Licensee",Netherlands,Banana (Banana)
Del Monte France SAS,"BP 40116 BAT DE3 7 BOULEVARD DU DELTA ZONE, EURODELTA, Rungis Cedex, 94658, France",32027,"Trader, Importer, Licensee",France,Banana (Banana)
Del Monte International GmbH,"Le Monte Carlo Sun Residence, 74 Boulevard d'Italie, Monte Carlo, 98000, Monaco",39662,"Trader, Importer, Licensee",Monaco,Banana (Banana)
Del Monte International GmbH Switzerland,"Dammstrasse 19, Zug, 6300, Switzerland",40395,"Trader, Importer, Licensee",Switzerland,Banana (Banana)
Delafaille NV,"Doornpark 16, Beveren, 9120, Belgium",37406,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Delaviuda Alimentacion S.A.U.,"C/Santa María, 4, Sonseca (Toledo), 45100, Spain",40537,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Spain,Cocoa (Cocoa)
Delica AG,"Bresteneggstrasse 4, Buchs, CH - 5033, Switzerland",1978,"Trader, Trader that is also a Manufacturer/Processor, Licensee, Importer",Switzerland,"Cane sugar (Cane sugar), Cereals (Quinoa), Cocoa (Cocoa), Coffee (Arabica, Robusta), Dried fruit (Date, Pineapple), Herbs, herbal teas & spices (Ginger (Zingiber officinale), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Nuts (Almonds, Brazil Nut, Cashew Nut), Oilseeds and Oleaginous fruit (Coconut), Rice (Not specified)"
Delicia B.V,"Zevenheuvelenweg 53-55, Tilburg, 5048 AN, Netherlands",32677,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Netherlands,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Deliciel AG,"Bruggerstrasse 48, Birmenstorf, 5413, Switzerland",38849,"Trader, Trader that is also a Manufacturer/Processor",Switzerland,"Cocoa (Cocoa), Nuts (Cashew Nut)"
Delight,"Dundas Street West 3040, Toronto, M6P 1Z3, Canada",5970,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,"Cane sugar (Not specified), Cocoa (Cocoa)"
Delitzscher Schokoladenfabrik GmbH,"Dübener Str. 33, Delitzsch, 04509, Germany",33545,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Delphi Organic GmbH,"Willy-Brandt-Weg 13, Münster, 48155, Germany",36574,"Trader, Importer",Germany,"Cocoa (Not specified), Herbs, herbal teas & spices (Coconut palm sugar/nectar (Cocos nucifera)), Oilseeds and Oleaginous fruit (Coconut)"
Demcoknitwear,"BP 47, Zone Industrielle, Moknine, 5050, Tunisia",31848,"Trader, Trader that is also a Manufacturer/Processor",Tunisia,Cotton (Not specified)
Demmer GmbH,"Karl-Tornay-Gasse 34, Vienna, 1230, Austria",5037,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Austria,Tea (Camellia sinensis)
Denali Ingredients LLC,"2400 S. Calhoun Road, New Berlin, 53151, United States",40749,"Trader, Trader that is also a Manufacturer/Processor",United States,"Cane sugar (Cane sugar), Cocoa (Cocoa)"
Denizli Rateks Tekstil San.Tic. A.S.,"Bozburun Mh. 7050 Sk. No:3 Merkezefendi, Denizli, 20020, Turkey",41360,"Trader, Trader that is also a Manufacturer/Processor",Turkey,Cotton (Not specified)
DenkMahl Rösterei GmbH,"Carl-Gustav-Vogel-Straße 3, Pößneck, 07381, Germany",48104,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Coffee (Arabica, Robusta)"
Depla Chocolaterie,"Eekhoutstraat 27, Brugge, 8000, Belgium",37493,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Belgium,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Der Bistrozucker H&V GmbH,"KLAUSNERRING 13, KIRCHHEIM, 85551, Germany",21635,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,Cane sugar (Cane sugar)
Derbystar Sportartikelfabrik GmbH,"Kleverstraße 77, Goch, 47574, Germany",3266,"Trader, Importer, Licensee",Germany,Sports Balls (Sports balls)
Deremiens Chocolate Group,"Rue du Faing, 6, Jamoigne, 6810, Belgium",44749,"Trader, Trader that is also a Manufacturer/Processor",Belgium,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Derewala Jewellery Manufacturing Co. Pvt. Ltd.,"F-24, G-1-25,26, Special Economic Zone (SEZ) Phase- 1, Sitapura Industrial Area, Tonk Road, Jaipur, 302022, India",44451,"Trader, Trader that is also a Manufacturer/Processor",India,Gold & associated Precious Metals (Gold)
Descafeinadora Colombiana S.A.S,"Parque Industrial Juanchito, Manizales, Colombia",27307,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Colombia,Coffee (Arabica)
Descafeinadores Mexicanos S.A. de C.V.,"Km. 341 Carretera Córdoba Veracruz S/N. Zona Industrial, R.F.C. DME010129M42, Córdoba, 94690, Mexico",3599,"Trader, Exporter",Mexico,"Coffee (Arabica, Robusta)"
Desert Joy SARL,"Chenchou km 20 Gabes, Gabes, CP 6095, Tunisia",30395,Producer,Tunisia,Vegetables (Tomatoes)
Dessbo Sweet & Biskuit GmbH,"Seelmannstraße 7, Dessau-Roßlau, 06847, Germany",44012,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Dessert Factory,"Rue de la Métallurgie 41, Villers-Le-Bouillet, Liège, Belgium",41430,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Destilaciones Bordas Chinchurreta S.A.,"Calle Acueducto 4-6, Polg Ind Ctra. La Isla, Dos Hermanas Sevilla, 41703, Spain",43649,"Trader, Trader that is also a Manufacturer/Processor, Importer",Spain,"Fresh fruit (Lemons, Oranges, Pomelo (Citrus maxima), Soft Citrus), Fruit juices (Fruit juices secondary product, Lemon, Mandarin, Not specified, Orange)"
Destination SAS,"1 bis chemin de Saint Eloi de Noyon, Cestas, 33610, France",2100,"Trader, Trader that is also a Manufacturer/Processor, Licensee, Importer",France,"Coffee (Arabica, Robusta), Tea (Camellia sinensis)"
Det Norske Kaffehus AS,"Fornebuveien 31, Lysaker, 1366, Norway",49319,"Trader, Trader that is also a Manufacturer/Processor",Norway,Coffee (Not specified)
Dethlefsen & Balk GmbH,"Hermann-Wüsthof-Ring 16, Hamburg, 21305, Germany",48136,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Coffee (Arabica, Robusta)"
Detmers Getreide - Vollwertkost GmbH,"Lechtermannshof 14-16, Bielefeld, 33739, Germany",47541,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Deutsche Extrakt Kaffee GmbH,"Cafeastraße 1, Postfach 930269, Hamburg, 21082, Germany",2334,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica, Robusta), Fruit juices (Lime), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia)), Tea (Camellia sinensis)"
Deutsche Extrakt Kaffee GmbH Berlin,"Cafeastraße 1, Berlin, 12347, Germany",22879,"Trader, Trader that is also a Manufacturer/Processor, Licensee, Importer",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica, Robusta), Fruit juices (Lime), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia)), Tea (Camellia sinensis)"
"Dharma Foods, Lda","Zona Industrial Lote 17 - A, Oliveira do Hospital, 3400-060, Portugal",44890,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Portugal,"Cocoa (Cocoa), Herbs, herbal teas & spices (Coconut palm sugar/nectar (Cocos nucifera))"
Di Costa S.P.A,"CONTRADA BARBAZZA S/N, FRANCAVILLA DI SICILIA (ME), 98034, Italy",35631,"Trader, Trader that is also a Manufacturer/Processor",Italy,Cocoa (Cocoa)
Diamond Fabrics Ltd,"26 KM, SHEIKHUPURA-FAISALABAD ROAD, FEROZEWATTOAN, Faisalabad, Pakistan",24031,"Trader, Trader that is also a Manufacturer/Processor",Pakistan,Cotton (Seed Cotton)
Dibella India Ltd,"# 187/1, 1st Floor, Kudlu, Behind Shri Bhagya veg, Hosur road, Bangalore, 560068, India",30131,"Trader, Trader that is also a Manufacturer/Processor, Licensee",India,Cotton (Seed Cotton)
Dibella b.v.,"Hamelandroute 90, Aalten, 7121 JC, Netherlands",26838,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Netherlands,Cotton (Seed Cotton)
"Diep Vu Co., LTD","Dongdok, Siketh Road, Shamket Village, Sikhottabong District, Vientiane, Laos",31132,"Trader, Trader that is also a Manufacturer/Processor",Laos,Cotton (Seed Cotton)
Diesel House Coffee Roasters,"1080 Taylor Court, Bracebridge, P1L 0A1, Canada",25409,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
Dietrich Borggreve Zwieback- und Keksfabrik KG,"Reitgaarstraße 1, Neuenhaus, 49828, Germany",34353,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
Dietz Cacao Trading B.V.,"Akerstraat 148, Heerlen, 6417 BR, Netherlands",6514,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Cocoa (Cocoa)
Dimabel BVBA,"Rozendaalstraat 29, Ieper, 8900, Belgium",4713,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Belgium,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
Dino Corsini s.r.l.,"Via G. Brodolini, 4, Valsamoggia loc. Crespellano, Bologna, 40056, Italy",43518,Trader,Italy,Cocoa (Cocoa)
Dinzler Kaffeerösterei AG,"Wendling 15, Irschenberg, 83737, Germany",28144,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Coffee (Arabica, Robusta)"
Dinámica International Crops S.A.,"Ave. Reforma Oficina 202-C, Edificio Avenida, Segundo Nivel 8-95 Zona 10, Guatemala",29271,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Guatemala,Coffee (Arabica)
Direct Flower Solutions,"Japanlaan 15, Aalsmeer, 1432 KB, Netherlands",47326,"Trader, Trader that is also a Manufacturer/Processor, Importer",Netherlands,Flowers and Plants (Cut Flowers)
Direct Fresh Sourcing GmbH,"Kiebitzhof 9, Hamburg, 22089, Germany",43787,"Trader, Importer",Germany,Banana (Banana)
Distillerie Merlet SAS,"49 route du Martret, Cherac, 17610, France",39866,"Trader, Trader that is also a Manufacturer/Processor",France,"Cane sugar (Cane sugar secondary product, Cane sugar), Coffee (Arabica), Herbs, herbal teas & spices (Ginger (Zingiber officinale), Not specified)"
Divine Chocolate Limited,"Sustainable Workspaces, Riverside Building, County Hall, 3rd, Westminster Bridge Rd, London, SE1 7PB, United Kingdom",1756,"Trader, Trader that is also a Manufacturer/Processor, Licensee",United Kingdom,"Cane sugar (Cane sugar), Cocoa (Cocoa), Dried fruit (Cherry), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Nuts (Almonds)"
Dobla Belgium Productions NV,"Lindekensbaan 91 a, Kessel, 2560, Belgium",41749,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
Docofil-Sociedade Textil LDA,"TRAVESSA DE CASAL DA LOBA DE BAIXO no 37, PENACOVA FELGUEIRAS, 4610-510, Portugal",32961,"Trader, Trader that is also a Manufacturer/Processor",Portugal,Cotton (Seed Cotton)
"Doi Chaang Coffee Original Co.,Ltd.","787 Moo 3, Wawi, Thailand",21724,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Thailand,Coffee (Arabica)
Doi Chaang Community Enterprise Piko,"787 Moo3, Wawi, Maesuai, Chiang Rai, 57180, Thailand",19467,Producer,Thailand,"Coffee (Arabica), Tea (Camellia sinensis)"
Dolceamaro srl,"Via S.S. 85 km 32,896, Strada Statale 85 Venafrana, km 32,896, Monteroduni (IS), 86075, Italy",19500,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,"Cocoa (Cocoa), Coffee (Not specified), Nuts (Almonds)"
Dolci Saperi Srl,"Via Panceri 3, Paderno Dugnano, 20037, Italy",39163,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,Cocoa (Not specified)
Dolciaria Ambrosiana S.r.l,"Via Vecchia Marchione nc, Castellana Grotte, (BA), 70013, Italy",43658,"Trader, Trader that is also a Manufacturer/Processor",Italy,Cocoa (Cocoa)
Dolciaria Gadeschi S.p.A.,"Strada Provinciale 26, km. 5, Corte de' Frati, 26010, Italy",41152,"Trader, Trader that is also a Manufacturer/Processor",Italy,Cocoa (Cocoa)
Dolcissimo srl,"Via Fratelli Cervi, 41, Ossona, 20010, Italy",40117,"Trader, Trader that is also a Manufacturer/Processor",Italy,"Cocoa (Not specified), Coffee (Not specified)"
Dole Europe GmbH,"Stadtdeich 7, Hamburg, 20097, Germany",2883,"Trader, Importer, Licensee",Germany,"Banana (Banana), Fresh fruit (Lychees, Pineapples)"
Dole Fresh Fruit Company,"200 S Tryon St. Ste. 600, Charlotte, United States",46247,"Trader, Importer",United States,"Banana (Baby banana, Banana), Fresh fruit (Pineapples)"
Dole ITALIA S.R.L.,"Rotonda Maestri del Lavoro, 2, Calcio, 24054, Italy",29016,"Trader, Importer, Licensee",Italy,Banana (Banana)
Dolfin SA,"172, avenue Robert Schuman, Baulers, 1401, Belgium",20430,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Belgium,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Not specified), Herbs, herbal teas & spices (Cinnamon (Cinnamomum zeylanicum, C. cassia), Ginger (Zingiber officinale), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Tea (Camellia sinensis)"
Domaine Wines Sweden AB,"Lindhagensgatan 133, Stockholm, 112 51, Sweden",41450,"Trader, Trader that is also a Manufacturer/Processor, Importer",Sweden,"Cane sugar (Cane sugar), Wine grapes (Wine grapes)"
Dominik Pflanzenvertriebsgesellschaft mbH,"Rheiner Straße 55, Hoerstel, 48477, Germany",21563,"Trader, Trader that is also a Manufacturer/Processor",Germany,Flowers and Plants (Cut Flowers)
Domino Foods Incorporated,"1 North Clematis Street, Suite 200, West Palm, 33401, United States",2170,"Trader, Licensee, Importer",United States,"Cane sugar (Cane sugar), Herbs, herbal teas & spices (Not specified)"
Domori S.p.A.,"Via Pinerolo 72/74, None, 10060, Italy",41543,"Trader, Trader that is also a Manufacturer/Processor",Italy,"Cane sugar (Cane sugar), Cocoa (Cocoa)"
Dondrin Naturkost GmbH,"Schlossbergstrasse 6, Rüti, 8630, Switzerland",29188,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Switzerland,"Oilseeds and Oleaginous fruit (Coconut, Sesame Seed)"
