Product,Quality,Form,Country / Region,Producer Scope,Price level (INCOTERMS),Quantity / Unit,Currency,Fairtrade minimum price,Fairtrade premium,Date of validity,Specific Product Standard,Product Specific Information
Persimmon,Organic,dried,Pakistan,CP,EXW,,,Commercial price,15% of the commercial price,6/9/2017,Prepared and Preserved Fruit & Vegetables,
Physalis,Conventional,fresh,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.1,4/5/2011,Fresh Fruit,
Physalis,Organic,fresh,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.1,4/5/2011,Fresh Fruit,
Pineapple,Conventional,fresh,Central America and Mexico,SPO / HL,EXW,1 kg,USD,0.53,0.06,3/4/2018,Fresh Fruit,
Pineapple,Organic,fresh,Central America and Mexico,SPO / HL,EXW,1 kg,USD,0.7,0.06,3/4/2018,Fresh Fruit,
Plantain,Conventional,Fresh,Worldwide,SPO / HL,EXW,22 kg,USD,8.35,1.25,9/8/2013,Fresh Fruit,
Plantain,Organic,Fresh,Worldwide,SPO / HL,EXW,22 kg,USD,11.7,1.25,9/8/2013,Fresh Fruit,
Platinum,Conventional,,Worldwide,ASMO,FOB,,,95% of the LPPM price,10% of the LPPM price,1/8/2013,Gold and Associated Precious Metals for Artisanal and Small-Scale Mining,
Plum,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,all varieties;
Plum,Organic,dried,Worldwide,SPO,EXW,1 Kg,,Commercial price,15% of the commercial price,24/06/2013,Prepared and Preserved Fruit & Vegetables,
Pomegranate,Conventional,fresh,Worldwide,SPO / HL,EXW/FOB,1 Kg,USD,Commercial price,15% of the commercial price,4/10/2012,Fresh Fruit,
Pomegranate,Organic,fresh,Worldwide,SPO / HL,EXW/FOB,1 Kg,USD,Commercial price,15% of the commercial price,4/10/2012,Fresh Fruit,
Pomelo,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,29/07/2019,Fresh Fruit,
Pomelo,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,29/07/2019,Fresh Fruit,
Potato,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Potato,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Prickly Pear,Conventional,Fresh,Worldwide,SPO / HL,EXW,1,,Commercial price,15% of the commercial price,5/12/2014,Fresh Fruit,
Prickly Pear,Organic,Fresh,Worldwide,SPO / HL,EXW,1,,Commercial price,15% of the commercial price,5/12/2014,Fresh Fruit,
Pulses,Conventional,,Worldwide,SPO,EXW,1 MT,USD,430,65,5/12/2008,Vegetables,
Pulses,Organic,,Worldwide,SPO,EXW,1 MT,USD,540,80,5/12/2008,Vegetables,
Pumpkin,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Pumpkin,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Quinoa,Conventional,processed (rinsed from saponine),South America,SPO,FOB,1 MT,USD,2250,260,1/4/2012,Cereals,at least 30% of the FP to be invested in environmental sustainability
Quinoa,Organic,processed (rinsed from saponine),South America,SPO,FOB,1 MT,USD,2600,260,1/4/2012,Cereals,at least 30% of the FP to be invested in environmental sustainability
Radicchio,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Radicchio,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Radish,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Radish,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Raisin,Conventional,dried,South Africa,SPO,EXW,1 kg,USD,0.55,1.82,16/11/2011,Prepared and Preserved Fruit & Vegetables,pre-processing; delivered to local warehouse of processor
Raisin,Organic,dried,Central Asia,SPO,EXW,1 Kg,USD,2,0.26,11/10/2012,Prepared and Preserved Fruit & Vegetables,
Rambutan,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Rambutan,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Raspberry,Conventional,for drying,Worldwide,SPO,EXW,1 kg,,Commercial price,15% of the commercial price,11/4/2013,Fresh Fruit,
Raspberry,Organic,for drying,Worldwide,SPO,EXW,1 kg,,Commercial price,15% of the commercial price,11/4/2013,Fresh Fruit,
Redcurrant,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,4/9/2013,Fresh Fruit,
Redcurrant,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,4/9/2013,Fresh Fruit,
Rice,Conventional,Basmati Traditional; paddy,India,SPO / CP,EXW,1 MT,USD,366.3,41,1/2/2015,Cereals,
Rice,Organic,Basmati Pusa; paddy,India,SPO / CP,EXW,1 MT,USD,233.2,27,1/2/2015,Cereals,
Rooibos,Conventional,,South Africa,HL,EXW,1 kg,USD,0.71,12,1/1/2008,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Rooibos,Organic,,South Africa,HL,EXW,1 kg,USD,0.99,12,1/1/2008,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Saffron,Conventional,,Worldwide,SPO,,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Herbs and Herbal Teas and Spices,
Saffron,Organic,,Worldwide,SPO,,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Herbs and Herbal Teas and Spices,
Sal seed,Conventional,,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,16/07/2019,Oilseeds and Oleaginous fruit,
Sal seed,Organic,,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,16/07/2019,Oilseeds and Oleaginous fruit,
Seed Cotton,Conventional,Gossypium barbadense,Western Africa,SPO,EXW,1 kg,USD,0.55,0.05,15/10/2011,Fibre crops,e.g. Giza; PIMA
Seed Cotton,Organic,Gossypium barbadense,Western Africa,SPO,EXW,1 kg,USD,0.66,0.05,15/10/2011,Fibre crops,e.g. Giza; PIMA
Sesame Seed,Conventional,,Worldwide,SPO,FOB,1 MT,USD,1190,220,before 2004,Oilseeds and Oleaginous fruit,
Sesame Seed,Organic,,Worldwide,SPO,FOB,1 MT,USD,1300,220,before 2004,Oilseeds and Oleaginous fruit,
Shallot,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Shallot,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Shea Butter,Conventional,,Eastern and Western Africa,SPO,EXW,1 MT,USD,2684.0,185,31/05/2010,Oilseeds and Oleaginous fruit,
Shea Butter,Organic,,Eastern and Western Africa,SPO,EXW,1 MT,USD,3300.0,185,31/05/2010,Oilseeds and Oleaginous fruit,
Silver,Conventional,,Worldwide,ASMO,FOB,,USD,95% of the LBMA price,10% of the LBMA price,1/8/2013,Gold and Associated Precious Metals for Artisanal and Small-Scale Mining,
Slenderleaf,Conventional,Fresh,Africa,SPO,EXW,,,Commercial price,15% of the commercial price,5/12/2014,Vegetables,
Slenderleaf,Organic,Fresh,Africa,SPO,EXW,,,Commercial price,15% of the commercial price,5/12/2014,Vegetables,
Snake fruit,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Snake fruit,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Soft Citrus,Conventional,except nours,Northern Africa,SPO / HL,FOB,1 kg,USD,0.51,0.05,9/11/2005,Fresh Fruit,
Soft Citrus,Organic,,Northern Africa,SPO / HL,FOB,1 kg,USD,0.69,0.05,22/01/2008,Fresh Fruit,
Sorghum,Conventional,dried grain,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,21/11/2018,Cereals,
Sorghum,Organic,dried grain,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,21/11/2018,Cereals,
Soursop,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,3/5/2017,Fresh Fruit,
Soursop,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,3/5/2017,Fresh Fruit,
Soybean,Conventional,,Worldwide,SPO,EXW,1 MT,USD,355,35,5/12/2008,Oilseeds and Oleaginous fruit,
Soybean,Organic,,Worldwide,SPO,EXW,1 MT,USD,510,50,5/12/2008,Oilseeds and Oleaginous fruit,
Spider plant,Conventional,Fresh,Africa,SPO,EXW,,,Commercial price,15% of the commercial price,5/12/2014,Vegetables,
Spider plant,Organic,Fresh,Africa,SPO,EXW,,,Commercial price,15% of the commercial price,5/12/2014,Vegetables,
Spinach,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Spinach,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Sports balls,Conventional,,Worldwide,HL,FOB,,,Commercial price,10% of the commercial price,1/1/2004,Sports balls,
Squash,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Squash,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Strawberry,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,27/01/2014,Fresh Fruit,
Strawberry,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,27/01/2014,Fresh Fruit,
Sweet Potato,Conventional,Fresh,Africa; Latin America and the Caribbean,HL,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Sweet Potato,Organic,Fresh,Africa; Latin America and the Caribbean,HL,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Table Grape,Conventional,fresh,Argentina,SPO / HL,EXW,1 Kg,USD,1,0.15,28/10/2013,Fresh Fruit,unpacked;
Table Grape,Organic,fresh,Argentina,SPO / HL,EXW,1 Kg,USD,1.15,0.15,28/10/2013,Fresh Fruit,unpacked;
Tomato,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Tomato,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Turmeric,Conventional,fresh,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Turmeric,Organic,Fresh,India,SPO,EXW,1 kg,USD,0.23,0.03,21/03/2005,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Vanilla,Conventional,Cured,Africa,SPO,EXW,1 kg,USD,41,6.5,1/6/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Vanilla,Organic,Cured,Africa,SPO,EXW,1 kg,USD,45,6.5,1/6/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Walnut,Conventional,halves,South America,SPO,EXW,1 kg,USD,8.73,1.22,1/12/2009,Nuts,
Walnut,Organic,halves,South America,SPO,EXW,1 kg,USD,10.04,1.22,1/12/2009,Nuts,
Watermelon,Conventional,,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.02,31/03/2011,Fresh Fruit,
Watermelon,Organic,,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.02,31/03/2011,Fresh Fruit,
Wine grape,Conventional,,Georgia,SPO / HL,EXW,1 kg,USD,0.28,0.05,31/03/2010,Fresh Fruit,
Wine grape,Organic,,Georgia,SPO / HL,EXW,1 kg,USD,0.33,0.05,31/03/2010,Fresh Fruit,
Zucchini,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Zucchini,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
