activity_id,unit_type,co2e_kg,co2e_unit,gas_co2e_total,gas_co2e_other,gas_co2,gas_ch4,gas_n2o,name,id,access_type,source,source_dataset,year,category,source_lca_activity,data_quality_flags
consumer_goods-type_cheese-origin_region_multi_region,Weight,88.6,kg,88.6,,,,,Cheese,9aca2ab9-0df7-4a3b-b5eb-7b07773bc3e6,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2015,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_cheese_and_cheese_products,Money,35.01,kg,35.01,0.08919,8.781,0.6255,0.02746,Cheese and cheese products,c4cc20f7-9f3a-43c3-bad6-aad48fda9a7b,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_chicken_pe_tray_with_pe_film-origin_region_multi_region,Weight,78.33,kg,78.33,,,,,Chicken PE tray with PE film,6fd12efa-cc38-4f57-b3c3-550d617d5d43,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_chocolate,Money,4.758,kg,4.758,,,,,Chocolate,fc34aa79-36c0-4b95-92f7-3e8238e519f4,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_chocolate_and_confectionery_manufacturing_from_cacao_beans,Money,4.82,kg,4.82,,3.44,0.0127,0.00371,Chocolate and confectionery manufacturing from cacao beans,b67df6c0-b93d-4b6f-82b5-3212731c2ff7,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_chocolate_except_confectionery,Money,10.23,kg,10.23,0.1605,8.496,0.02773,0.002688,Chocolate (except confectionery),21ad83ee-fb53-43e4-8cc3-ec2ad43016d0,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_chopped_tomatoes_aluminium_tin-origin_region_multi_region,Weight,46.14,kg,46.14,,,,,Chopped tomatoes aluminium tin,291ba64d-0f2e-4f03-9175-6d5177b97580,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cigarettes,Money,3.266,kg,3.266,,,,,Cigarettes,508696a3-cac2-4830-8efd-02caa2cb30b3,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_cigarettes_cigars_chewing_and_smoking_tobacco,Money,7.445,kg,7.445,0.05218,6.516,0.01331,0.001751,Cigarettes / cigars / chewing and smoking tobacco,954a12c4-92dc-4c51-878b-5c1e02e6ed22,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_cigars,Money,0.0,kg,0.0,,,,,Cigars,d0ba5af2-6299-457e-9c2f-495d54196f41,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_citrus_fruit_fresh_or_chilled,Money,6.312,kg,6.312,,,,,Citrus fruit (fresh or chilled),646ad5d6-0c42-4906-bd1d-ef3c7ef6831a,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_cocoa_and_other_powdered_hot_drinks,Money,4.742,kg,4.742,,,,,Cocoa and other powdered hot drinks,344a8d00-bbfb-4c43-a7df-f268912c5958,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_cocoa_chocolate-origin_region_global,Weight,336.7,kg,336.7,,,,,Cocoa (chocolate),24e9b1ad-ac0a-42bd-a324-2df993653af4,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_coconut_milk_pet_bottle_with_pp_lid-origin_region_multi_region,Weight,6.485,kg,6.485,,,,,Coconut milk PET bottle with PP lid,4c05a909-1fe3-4f66-be53-0e292eaba604,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_coconut_yoghurt_pp_tub_with_ldpe_lid-origin_region_multi_region,Weight,9.477,kg,9.477,,,,,Coconut yoghurt PP tub with LDPE lid,7b7fa7cb-d497-4633-a4ac-44e629275977,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_coffee,Money,4.758,kg,4.758,,,,,Coffee,82030468-4150-4e67-9d39-24e7907e8ee9,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_coffee-origin_region_global,Weight,170.1,kg,170.1,,,,,Coffee,682b0ade-f69c-4420-85c8-bd08320fdcc6,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_coffee_and_tea,Money,14.73,kg,14.73,0.1102,5.556,0.2144,0.009783,Coffee and tea,6c5531a3-a0d6-45c3-b301-21fb45538ae3,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_coffee_tea,Money,3.53,kg,3.53,,2.18,0.00878,0.00404,Coffee and tea,9cbbc2c4-a3d6-45a7-8434-e5b8e188c371,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_coffee_tea_cocoa,Money,2.995,kg,2.995,,,,,Coffee/tea/cocoa,f2e8faac-cc1d-4e81-8954-ede5a86b6b26,public,BEIS,UK full dataset including conversion factors by COICOP code (archived),2018,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_combined_oil_blended_vegetable_oils-origin_region_multi_region,Weight,29.4,kg,29.4,,,,,Combined oil (blended vegetable oils),4453d91c-8426-4c96-b1fe-9cb3631769c5,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2020,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_combined_oil_mix_of_olive_oil_and_seeds_oil-origin_region_multi_region,Weight,18.92,kg,18.92,,,,,Combined oil (mix of olive oil and seeds oil),5c81ddee-98cf-4052-848e-079afd84c6a7,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2020,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_commercial_bakeries,Money,2.53,kg,2.53,,1.62,0.00971,0.00229,Commercial bakeries,e1511d87-caaf-40af-af82-b901aa24a381,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_confectionery_and_nut_stores,Money,1.86,kg,1.86,,1.58,0.00498,0.000428,Confectionery and nut stores,e527bdd6-af48-479e-947d-5266d43f5f8c,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_confectionery_manufacturing_from_purchased_chocolate,Money,4.82,kg,4.82,,3.44,0.0127,0.00371,Confectionery manufacturing from purchased chocolate,798d08e8-1340-40b1-bb17-064e13c262f6,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_confectionery_products,Money,9.278,kg,9.278,0.09433,3.843,0.1251,0.005897,Confectionery products,3f443103-1ad7-47aa-a889-9e52d766b4cd,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_convenience_stores,Money,1.86,kg,1.86,,1.58,0.00498,0.000428,Convenience stores,239b8e07-dac1-412a-a1ee-197466987a3d,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_cookies_crackers_and_baked_sweet_goods,Money,6.498,kg,6.498,0.09042,5.367,0.02165,0.001436,Cookies / crackers and baked sweet goods,20676083-9e9f-41fb-88d2-31706e49cb25,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_cookies_crackers_pastas_tortillas,Money,3.56,kg,3.56,,1.98,0.0163,0.00411,Cookie and cracker manufacturing,6dcb585d-0b8c-4b8b-91df-c5cb92a1c032,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_corn_products,Money,20.55,kg,,0.07,13.02,0.06,0.02,Corn products,13ee8f33-aa9b-4c1a-b0dd-7b83d0fc00ee,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_cornflour_ldpe_bag-origin_region_multi_region,Weight,16.41,kg,16.41,,,,,Cornflour LDPE bag,660ff09e-7fc9-48e9-a23a-0f79857af0d2,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cows_cheese_pe_tray_with_pe_film-origin_region_multi_region,Weight,163.7,kg,163.7,,,,,Cows cheese PE tray with PE film,373e63b6-e832-4c1a-975a-5b254ea5e58b,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cream-origin_region_multi_region,Weight,53.2,kg,53.2,,,,,Cream,42a8a073-193f-4532-a1ab-0b85b7eb7a92,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2015,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_cream_pp_tub_with_ldpe_lid-origin_region_multi_region,Weight,27.48,kg,27.48,,,,,Cream PP tub with LDPE lid,993343e8-02e2-4315-ac53-6217a5cedfed,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_creamery_butter,Money,8.03,kg,8.03,,2.43,0.156,0.00452,Creamery butter manufacturing,6c193677-1e4e-4e94-8725-952c7e26b481,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_cucumbers_ldpe_bag-origin_region_multi_region,Weight,3.749,kg,3.749,,,,,Cucumbers LDPE bag,1b919cbb-c907-48e0-bf5e-1a8c4fce4caf,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_custard_aluminium_tin-origin_region_multi_region,Weight,38.23,kg,38.23,,,,,Custard aluminium tin,48501434-79fa-49bc-9efc-fa29b1f6e083,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_dairy_egg_vegetable_fat,Money,3.425,kg,3.425,,,,,Dairy/eggs/vegetable fats,e0497d7f-c512-44ea-a34e-77d6720cdf57,public,BEIS,UK full dataset including conversion factors by COICOP code (archived),2018,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_dairy_products,Money,7.042,kg,7.042,,3.012,,,Dairy products,96b2369d-16b6-463a-a4c4-c390a4f4d690,public,BEIS,UK and England's carbon footprint to 2021,2021,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_dark_chocolate_pp_wrapping-origin_region_multi_region,Weight,21.83,kg,21.83,,,,,Dark chocolate PP wrapping,1c3d3884-4cf3-43ce-80fe-3d0538dcc317,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_desserts_and_dessert_preparations_excluding_milk_based,Money,4.758,kg,4.758,,,,,Desserts and dessert preparations (excluding milk based),1fd07e78-5650-46ac-8d4a-36faf037f96b,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_digestive_biscuits_pp_wrapping-origin_region_multi_region,Weight,22.33,kg,22.33,,,,,Digestive biscuits PP wrapping,4e39cbc7-f322-47cf-b915-d7f5c28c3d16,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_distilled_liquor,Money,6.625,kg,6.625,0.06582,5.735,0.01354,0.001532,Distilled liquor,760b7f24-6d53-48e0-a99e-a05cc5e9878a,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_distilleries_spirits,Money,3.05,kg,3.05,,2.43,0.00701,0.00147,Distilleries,1015a705-568c-4f32-bedb-9d407b4436b6,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_dog_and_cat_food,Money,9.623,kg,9.623,0.1079,5.925,0.07375,0.005085,Dog and cat food,b17e675f-c99a-47df-9938-5f0d74c3c689,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_dried_and_dehydrated_food,Money,3.81,kg,3.81,,2.33,0.0268,0.00242,Dried and dehydrated food manufacturing,d6c481c8-83dc-4f75-a87c-892073e8e818,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_dried_fruit,Money,6.305,kg,6.305,,,,,Dried fruit,80ad867a-8011-4332-b193-53fd14925131,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_dried_peas-origin_region_uk,Weight,14.89,kg,14.89,,,,,Dried peas,d83600aa-9f8d-4484-938d-7ef1ca239ca3,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_dried_peas-origin_region_uk_import_market_mix,Weight,23.15,kg,23.15,,,,,Dried peas,eaba3181-85e0-4a2d-b026-67e1f52395ee,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_dried_shelled_beans_pulses_cooked_kidney_broad_beans-origin_region_uk,Weight,16.67,kg,16.67,,,,,Dried shelled beans (pulses cooked kidney broad beans),bb822316-294c-46aa-87de-86102fe1855b,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_dried_shelled_beans_pulses_cooked_kidney_broad_beans-origin_region_uk_import_market_mix,Weight,13.27,kg,13.27,,,,,Dried shelled beans (pulses cooked kidney broad beans),dc2a3c3a-6d71-472c-8033-14638747f36e,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_dried_vegetables,Money,4.703,kg,4.703,,,,,Dried vegetables,0b4ee1f0-b390-4563-8686-45f7f49dc1b2,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_drink_concentrates_and_powders,Money,4.754,kg,4.754,,,,,Drink concentrates and powders,96d7eb0c-7b11-4d40-acd1-59ab6e6542e2,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_dry_condensed_evaporated_dairy,Money,6.42,kg,6.42,,2.32,0.112,0.00351,Dry / condensed and evaporated dairy products,81c53dc5-6767-4b51-ae64-ba751954be20,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_dry_pasta_dough_and_flour_mixes_manufacturing_from_purchased_flour,Money,3.56,kg,3.56,,1.98,0.0163,0.00411,Dry pasta/dough and flour mixes manufacturing from purchased flour,a3c8c1b2-e40d-4fe6-8d72-1fbd103cd943,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_e_cigarettes_and_refills,Money,2.706,kg,2.706,,,,,E-cigarettes and refills,8f5149a8-a664-43f1-9e2c-12fea7eb5d8d,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_edible_oils,Money,10.66,kg,10.66,,,,,Edible oils,8a78a56b-83b1-4401-8187-2da62dc70352,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_eggs,Weight,12.16,kg,12.16,,5.83,0.011,0.0225,Eggs,8efa7e4f-aecc-4ffd-aee3-77a13f7a3e99,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_eggs,Money,16.88,kg,16.88,,,,,Eggs,513d8768-da44-40a8-b4c0-805a2265b31c,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_eggs-origin_region_global,Weight,44.81,kg,44.81,,,,,Eggs,15fd1adb-941d-4219-824c-db299b3683ac,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_eggs-origin_region_multi_region,Weight,33.9,kg,33.9,,,,,Eggs,571d2be9-836b-4d92-96ac-41b49ef1111f,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2015,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_eggs-origin_region_uk,Weight,55.0,kg,55.0,,,,,Eggs,eeb591d3-cb88-4a29-a2d2-02f6c711a13c,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_farm_gate,[]
consumer_goods-type_eggs_barn-origin_region_uk,Weight,34.5,kg,34.5,,,,,Eggs (barn),b1c400db-3fd6-420e-a0e0-72becde9779e,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_farm_gate,[]
consumer_goods-type_eggs_cage_colony-origin_region_uk,Weight,29.2,kg,29.2,,,,,Eggs (cage/colony),63f4e298-42cc-4904-95ba-3848917775b1,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_farm_gate,[]
consumer_goods-type_eggs_cardboard_box-origin_region_multi_region,Weight,41.43,kg,41.43,,,,,Eggs cardboard box,ae721a3a-cbdc-4858-8565-e726fdb54098,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_eggs_free_range-origin_region_uk,Weight,33.8,kg,33.8,,,,,Eggs (free range),fe708393-0c71-4119-84af-d333aea1b8d5,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_farm_gate,[]
consumer_goods-type_eggs_in_shell,Money,62.73,kg,62.73,0.1215,13.92,1.167,0.05095,Eggs in shell,3d0a562e-18a1-4829-b684-4b46c9135fac,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_eggs_organic-origin_region_uk,Weight,34.3,kg,34.3,,,,,Eggs (organic),3701cfcb-09cb-46d4-8f19-b54d7166ee29,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_farm_gate,[]
consumer_goods-type_energy_drinks,Money,4.711,kg,4.711,,,,,Energy drinks,21774db3-b692-4b02-9034-7f733240f33d,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_falafels_pp_tub-origin_region_multi_region,Weight,12.04,kg,12.04,,,,,Falafels PP tub,68988168-865e-4e4c-9e42-e50d51042d1c,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_fats_and_oils_refining_and_blending,Money,3.85,kg,3.85,,1.83,0.00856,0.00663,Fats and oils refining and blending,8f7e075b-04a8-4e78-b283-769577357c96,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_fish_and_seafood_markets,Money,1.86,kg,1.86,,1.58,0.00498,0.000428,Fish and seafood markets,8de91649-9a0d-4747-9c77-30c5e8c9a2e6,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_fish_fresh_chilled_or_frozen,Money,1.282,kg,1.282,,,,,Seafood (fresh/frozen/processed),633fec25-85d4-48b2-a67f-fae670a6b29f,public,BEIS,UK full dataset including conversion factors by COICOP code (archived),2018,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_fish_fresh_or_chilled,Money,4.151,kg,4.151,,,,,Fish (fresh / chilled),8f0cc3bc-839b-4848-a080-2aecb8d8fa46,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_fish_products,Money,33.06,kg,33.06,,,,,Fish products,4623f99e-df6b-47a7-bff6-82a8c2c55927,public,EXIOBASE,EXIOBASE 3,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_flavored_drink_concentrates,Money,2.16,kg,2.16,,1.45,0.00939,0.00158,Flavoring syrup and concentrate manufacturing,f31b63ee-67da-4bee-b6ce-451111b152ce,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_flavouring_syrups_seasonings_and_dressings,Money,13.91,kg,13.91,0.1069,5.378,0.1995,0.009081,Flavouring syrups / seasonings and dressings,dd7fd139-d6fe-4bfd-8a91-5bda5c360352,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_flour_and_other_grain_mill_products,Money,11.67,kg,11.67,0.123,8.416,0.03095,0.008072,Flour and other grain mill products,ab201078-ebfc-4ae6-b864-cf331df87f11,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_flour_milling,Money,7.69,kg,7.69,,2.76,0.032,0.0151,Flour milling,5552758d-2170-4102-a567-d1a549adb3cd,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_flour_mixes_dough_and_dry_pasta,Money,8.662,kg,8.662,0.09615,6.834,0.02284,0.003839,Flour mixes / dough and dry pasta,400741bb-b0cf-4561-926c-0461145e270d,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_flours_malts,Money,15.32,kg,,0.06,8.05,0.05,0.02,Flours and malts,7786cf2e-be8f-4f97-8ce2-5a98226b324d,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_fluid_milk_butter,Money,8.03,kg,8.03,,2.43,0.156,0.00452,Fluid milk and butter,b88aad37-3c68-4705-9ce8-8ddfa226005c,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_food_additives_nec,Money,4.758,kg,4.758,,,,,Food additives nec,41305e6b-0fb2-4ea2-a32c-51187ec34595,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_food_and_drink_primary_material_production,Weight,37.01,kg,37.01,,,,,Food and drink (Primary material production),c0a863ed-fd35-4f9d-82e7-0f3ae64d0cfd,public,BEIS,Greenhouse gas reporting: conversion factors 2024,2024,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_food_beverage_stores,Money,2.76,kg,,0.04,2.47,0.01,0.0,Food and beverage stores,793ba55f-9cd7-42fe-9359-adf6e84944df,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_food_beverages_tobacco,Money,8.9,kg,8.9,,,,,Food/beverages/tobacco,4a271eb5-2347-4970-ba79-18d60163ad15,public,GHG Protocol,Quantis and GHG Protocol Scope 3 Evaluator,2016,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_food_for_pets_and_domestic_livestock,Money,15.95,kg,15.95,,,,,Food for pets and domestic livestock,2eeb9694-6653-444b-a98c-22e023007fdd,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_food_products_not_elsewhere_specified,Money,38.59,kg,38.59,,,,,Food products (not elsewhere specified),6c03fabd-e8a1-486b-8da7-685825504927,public,EXIOBASE,EXIOBASE 3,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_fresh_and_frozen_beef_and_veal,Money,32.23,kg,32.23,0.1245,8.01,0.6136,0.02127,Fresh and frozen beef and veal,01af8a8b-b342-4673-a993-db767e679aab,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_fresh_and_frozen_pork,Money,28.79,kg,28.79,0.1156,7.773,0.5398,0.01762,Fresh and frozen pork,2441e753-e8de-4a87-9ec2-9848b1bb3936,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_fresh_and_frozen_poultry_of_all_types,Money,28.69,kg,28.69,0.1177,7.662,0.5422,0.01741,Fresh and frozen poultry of all types,1de0cdcc-f3f9-4ee7-bfa4-c24848f91e59,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_fresh_broiler_chicken,Weight,131.2,kg,131.2,,22.48,0.447,0.3596,Broiler chicken fresh,332661d6-6062-478a-b9b4-62165f4df09c,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_fresh_frozen_and_canned_fruit_and_vegetable_juices,Money,7.008,kg,7.008,0.09043,5.139,0.03676,0.00249,Fresh / frozen and canned fruit and vegetable juices,8f21fd1d-c2c2-4f28-9408-05295d163e06,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
